Unique_ID,org_name,org_url,Twitter_URL,Twitter_handle,earliest_tweet_in_db,number_of_tweets_in_db,Followers,Following
1,Pedro Sanchez,,https://twitter.com/sanchezcastejon,sanchezcastejon,,,1665401,6036
2,Estopa,,https://twitter.com/estopaoficial,estopaoficial,,,1010610,720
3,Billkilgore,,https://twitter.com/billkilgore_,billkilgore_,,,200616,1567
4,Antonio,,https://twitter.com/levmauc,levmauc,,,376288,236261
5,Knekro,,https://twitter.com/KNekro,KNekro,,,439221,271
6,Crespo,,https://twitter.com/QuantumFracture,QuantumFracture,,,369681,695
7,Arcane,,https://twitter.com/arcaneshow,arcaneshow,,,538926,14
8,LoL Esports,,https://twitter.com/lolesports,lolesports,,,2171714,527
9,Illojuan,,https://twitter.com/LMDShow,LMDShow,,,704548,370
10,Alex Riveiro,,https://twitter.com/alex_riveiro,alex_riveiro,,,314835,795
